runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
1,0,354108,1562428,192992,266712,0,0,0,6,407,229,24,1,75,0,0,0,"-0,160679863","-1,171221037","-1,80068668","-0,002948221","-0,452621517","0,4458798579","0,0696235049"
1,0,354108,803548,192992,266712,0,0,0,2,414,237,24,1,75,0,0,0,"-0,169864713","-1,153528297","-1,682263041","-0,472008256","-0,978485854","1,2204762318","-0,141466114"
1,0,354108,2508860,192992,266712,0,0,0,0,445,282,24,1,75,0,0,0,"-0,016486322","-1,053482403","-1,923923774","0,680498942","0,1467631105","-0,500003943","0,2170848254"
1,0,354108,1749068,192992,266712,0,0,0,0,406,228,24,1,75,0,0,0,"-0,15984742","-1,162695824","-1,837585147","0,1075607927","-0,323380453","0,2555363917","0,1257327947"
1,0,354108,990896,193000,266752,0,0,20,8,425,252,24,1,75,0,0,0,"-0,119833476","-1,132595481","-1,692915762","-0,326211231","-0,863964038","1,0340595302","-0,122450902"
1,0,354108,2694484,193000,266752,0,0,0,0,452,304,24,2,75,0,0,0,"0,5795239186","-0,985169819","-1,526588323","1,2046145239","-0,079185024","-0,824306963","0,6901184742"
1,0,354108,1934708,193000,266752,0,0,0,0,429,249,25,1,75,0,0,0,"-0,060204271","-0,477056156","-2,027042558","0,5053582987","-0,270447804","0,0459425614","-0,307283104"
1,0,354108,1184640,193000,266752,0,0,0,2,419,234,24,2,75,0,0,0,"0,4022004351","-1,116860814","-1,320993627","0,1478271053","-1,055669677","0,6915410431","0,4081151982"
1,0,354108,2846568,193008,266752,0,0,0,6,435,266,24,1,75,0,0,0,"-0,034969021","-1,089201286","-1,976825671","0,8738389277","0,3905772376","-0,848450981","0,3291170254"
1,0,354108,2142056,193008,266752,0,0,0,0,428,248,24,1,75,0,0,0,"-0,092662548","-1,113562332","-1,881812702","0,3972834442","-0,076551374","-0,136885473","0,178009261"
1,0,354108,1382532,193008,266752,0,0,0,2,415,233,24,1,75,0,0,0,"-0,153625391","-1,152834006","-1,771476414","-0,108984384","-0,581105354","0,6306438982","0,011557879"
1,0,354108,3004556,193016,266756,0,0,0,6,464,315,24,2,75,0,0,0,"0,6223810107","-0,966886862","-1,558450362","1,4290415445","0,1199924719","-1,135548384","0,7383358023"
1,0,354108,2327404,193016,266764,0,0,0,0,420,232,25,1,75,0,0,0,"-0,079399537","-0,503404905","-2,095647819","0,727870634","0,0116468059","-0,358589329","-0,176245401"
1,0,354108,1563480,193016,266764,0,0,0,2,421,239,24,1,75,0,0,0,"-0,132303613","-1,138119368","-1,794798222","0,017300166","-0,463726629","0,4486878698","0,0445728904"
1,0,354108,804908,193016,266764,0,0,0,0,430,244,24,2,75,0,0,0,"0,414499285","-1,092834677","-1,255947834","-0,073629131","-1,325821216","1,0814289351","0,286539945"
1,0,354108,2515200,193024,266764,0,0,0,6,473,311,24,1,74,0,0,0,"0,2259476528","-0,911010239","-1,920836929","0,6780318648","0,1693816977","-0,534740124","0,1265046413"
1,0,354108,1751552,193024,266764,0,0,0,2,481,238,24,1,75,0,0,0,"-0,039512757","-1,081043212","-1,790614938","0,1904837886","-0,362612023","0,2654528096","0,007469293"
1,0,354108,988520,193024,266764,0,0,0,0,545,236,24,1,75,0,0,0,"0,0244140187","-1,025041539","-1,639270807","-0,237365737","-0,912318493","1,0500103251","-0,280029719"
1,0,354108,2693420,193024,266764,0,0,0,0,661,280,24,1,74,0,0,0,"0,4695203729","-0,761060978","-1,856758795","0,9256697894","0,2221736413","-0,696940552","-0,066426572"
1,0,354108,1925708,193032,266768,0,0,0,10,666,255,24,1,75,0,0,0,"0,2596557161","-0,896006272","-1,7017687","0,4960546508","-0,340283855","0,1178443416","-0,238148826"
1,0,354108,1166156,193032,266768,0,0,0,0,676,292,24,1,75,0,0,0,"0,2840131326","-0,829978707","-1,583410761","0,0540039692","-0,88388507","0,8998145631","-0,475035319"
1,0,354108,2842832,193032,266768,0,0,0,0,695,290,24,1,74,0,0,0,"0,5351666348","-0,715143949","-1,858967105","1,0619582839","0,302684429","-0,842034257","-0,085900835"
1,0,354108,2118912,193040,266772,0,0,0,12,670,241,24,1,75,0,0,0,"0,2572904822","-0,911158561","-1,729498187","0,6092712384","-0,202426796","-0,081211737","-0,182505715"
