runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9,Principale10,Principale11,Principale12,Principale13,Principale14,Principale15,Principale16
1,0,338672,1309384,200084,376164,0,0,0,0,475,241,24,1,75,0,0,0,"-0,979789206","0,2600070769","1,1552793557","-0,906000139","-0,046030734","0,2266277251","0,044498797","0,2973084875","0,0293820713","-0,158372371","-0,282772756","-0,072089375","0,0438887299","-0,154368614","-0,002930313","0,007294794"
1,0,338672,544200,200084,376164,0,0,0,4,657,235,24,1,75,0,0,0,"-0,744773581","0,4131992718","1,3790717657","-1,22528188","-0,650446785","1,0289813803","-0,416418712","0,2422089905","-0,343146353","0,1024896324","0,1534947869","-0,154393736","-0,1462694","-0,072350576","0,0225374307","-0,061282923"
1,0,338672,2266904,200092,376156,0,0,0,12,708,283,24,2,74,0,0,0,"0,1694646502","0,6410122325","1,5505432458","0,2783703162","0,1861286221","-0,885239561","0,3405646075","-1,490366397","-0,231070172","0,2661296856","0,1245947285","-0,127854918","-0,252946309","-0,034138235","0,0396496829","-0,15727312"
1,0,338672,1511216,200092,376164,0,0,0,0,680,248,25,1,75,0,0,0,"-0,628878374","1,1002973583","1,0615092926","-0,345066748","-0,058735367","0,0227938103","-0,635649636","0,5030491414","0,1118033963","0,0926038792","0,0420548712","-0,508767222","-0,461742177","0,3562934789","0,1067667245","0,174069363"
1,0,338672,753552,200092,376164,0,0,0,2,680,247,24,1,75,0,0,0,"-0,691920332","0,4547323431","1,3593581335","-1,06095014","-0,524796333","0,8217977316","-0,404434957","0,2656944358","-0,416450555","0,1464844122","0,2023878149","-0,156391016","-0,119901185","-0,082407745","0,0069009541","-0,042773023"
2,0,338672,2465936,200100,376164,0,0,0,6,759,332,25,1,75,0,0,0,"-0,203160655","1,5969467047","1,0580583637","1,759776397","4,1984634157","2,4615624193","-0,09129571","0,2037727223","0,004027497","0,3069509788","0,338567004","-0,466106791","-0,27752328","0,2914398568","-0,049044453","0,2184511213"
1,0,338672,1712400,200100,376164,0,0,0,0,716,308,24,1,75,0,0,0,"-0,539640431","0,5745970547","1,2395140293","-0,35932194","0,0789029749","-0,135162013","-0,261464825","0,3715497626","-0,575368212","0,2314772353","0,2526445931","-0,122418905","0,0486844674","-0,166202911","-0,079212162","0,0507821415"
1,0,338672,958840,200100,376164,0,0,0,2,683,248,24,2,75,0,0,0,"-0,124294012","0,4930695092","1,7470337053","-0,549836238","-0,723568298","0,472389024","0,0987179327","-1,630590539","-0,059226688","0,2714420903","0,1337202228","-0,278200608","-0,291730207","0,073576872","0,0083675395","0,0523063282"
1,0,338672,2667884,200108,376164,0,0,0,6,710,281,24,1,74,0,0,0,"-0,37509696","0,6206220168","1,0647848003","0,1489504742","0,7978713886","-1,152281474","-0,005560179","0,461703776","-0,662188301","0,1783409301","0,2125941495","-0,015550702","-0,040454838","-0,189482097","0,0235411619","-0,212977646"
1,0,338672,1903024,200108,376168,0,0,0,0,596,233,23,2,75,0,0,0,"-0,273591763","-0,234005618","1,7250660378","-0,287325504","0,0219703554","-0,475029313","0,9147813412","-1,715901187","-0,54297526","0,2641498816","0,1083037114","0,0943161631","0,1857430608","-0,389348003","-0,141925162","-0,052051936"
