runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Cluster
1,0,353596,2973816,193208,267868,0,0,0,0,523,295,24,1,75,0,0,0,5
1,0,353596,2312848,193208,267868,0,0,0,4,424,233,24,1,75,0,0,0,5
1,0,353596,1557168,193208,267868,0,0,0,0,431,270,24,1,75,0,0,0,6
1,0,353596,806680,193216,267868,0,0,0,6,418,239,24,1,75,0,0,0,6
1,0,353596,2521164,193216,267868,0,0,0,2,442,278,25,1,74,0,0,0,5
1,0,353596,1765988,193216,267868,0,0,0,0,409,228,24,1,75,0,0,0,5
1,0,353596,1037628,193216,267868,0,0,0,0,416,248,24,1,75,0,0,0,6
1,0,353596,2762764,193224,267868,0,0,0,8,450,283,24,1,74,0,0,0,5
1,0,353596,2010380,193224,267868,0,0,0,0,425,242,24,1,75,0,0,0,5
1,0,353596,1260860,193224,267868,0,0,0,0,431,238,24,1,75,0,0,0,6
1,0,353596,2893372,193232,267860,0,0,0,8,451,290,24,1,74,0,0,0,5
1,0,353596,2210684,193232,267868,0,0,0,0,417,239,24,1,75,0,0,0,5
1,0,353596,1457004,193232,267868,0,0,0,0,420,251,24,1,75,0,0,0,6
1,0,353596,697844,193232,267868,0,0,0,2,428,248,24,1,75,0,0,0,6
1,0,353596,2409392,193240,267868,0,0,0,6,450,287,24,1,74,0,0,0,5
1,0,353596,1649920,193240,267868,0,0,0,0,415,226,23,2,75,0,0,0,7
1,0,353596,894052,193240,267868,0,0,0,2,423,237,24,2,75,0,0,0,7
2,0,353596,2626460,193240,267868,0,0,0,0,498,328,24,1,74,0,0,0,9
1,0,353596,1874600,193248,267996,56,0,120,6,642,323,24,1,75,0,0,0,5
1,0,353596,1119068,193248,267996,0,0,0,2,629,239,24,1,75,0,0,0,6
1,0,353596,2826816,193248,267996,0,0,0,0,677,280,24,1,75,0,0,0,5
1,0,353596,2078072,193256,267996,0,0,0,6,666,259,24,2,75,0,0,0,7
1,0,353596,1328336,193256,267996,0,0,0,2,662,251,24,1,75,0,0,0,6
1,0,353596,2970984,193256,268000,0,0,0,0,695,282,24,1,74,0,0,0,5
1,0,353596,2299536,193256,268000,0,0,0,0,658,237,24,1,75,0,0,0,5
1,0,353596,1543904,193264,268000,0,0,0,10,672,245,24,1,75,0,0,0,5
1,0,353596,780512,193264,268000,0,0,0,0,660,238,25,1,75,0,0,0,6
1,0,353596,2494692,193264,268000,0,0,0,0,702,289,24,1,74,0,0,0,5
1,0,353596,1734676,193272,268000,0,0,0,12,679,250,25,1,75,0,0,0,5
1,0,353596,979460,193272,268000,0,0,0,0,671,232,24,1,75,0,0,0,6
1,0,353596,2692908,193272,268000,0,0,0,0,702,277,24,2,74,0,0,0,7
1,0,353596,1933380,193280,267992,0,0,0,14,677,241,24,2,75,0,0,0,7
1,0,353596,1178332,193280,268000,0,0,0,0,513,271,24,1,75,0,0,0,6
1,0,353596,2846672,193280,268000,0,0,0,0,455,294,24,1,75,0,0,0,5
1,0,353596,2142992,193280,268000,0,0,0,2,421,243,24,1,75,0,0,0,5
1,0,353596,1385488,193288,267992,0,0,0,8,423,240,24,1,75,0,0,0,6
1,0,353596,3025300,193288,268000,0,0,0,0,463,304,24,1,75,0,0,0,5
1,0,353596,2357560,193288,268000,0,0,0,4,424,234,24,1,75,0,0,0,5
1,0,353596,1610012,193288,268000,0,0,0,0,421,248,24,1,75,0,0,0,6
1,0,353596,859468,193296,268000,0,0,0,6,431,235,24,2,75,0,0,0,7
1,0,353596,2568520,193296,268004,0,0,0,2,457,281,25,1,74,0,0,0,5
1,0,353596,1808256,193296,268004,0,0,0,0,424,240,24,1,75,0,0,0,5
1,0,353596,1053372,193304,268004,0,0,0,6,436,247,24,1,75,0,0,0,6
1,0,353596,2761004,193304,268004,0,0,0,2,467,296,24,1,75,0,0,0,5
1,0,353596,2000412,193304,268004,0,0,0,0,408,232,24,1,75,0,0,0,5
1,0,353596,1242228,193304,268004,0,0,0,0,417,232,24,1,75,0,0,0,6
1,0,353596,2861244,193312,268004,0,0,0,8,466,294,24,1,75,0,0,0,5
1,0,353596,2194460,193312,268004,0,0,0,0,433,271,24,1,75,0,0,0,5
1,0,353596,1439580,193312,268004,0,0,0,0,441,280,24,1,75,0,0,0,6
1,0,353596,3072164,193312,268004,0,0,0,2,469,270,24,1,75,0,0,0,5
1,0,353596,2382628,193320,268004,0,0,0,6,576,235,24,1,74,0,0,0,5
1,0,353596,1637052,193320,268004,0,0,0,0,622,249,24,1,75,0,0,0,5
1,0,353596,886664,193320,268004,0,0,0,2,643,243,24,1,75,0,0,0,6
1,0,353596,2604032,193328,268004,0,0,0,6,691,304,25,1,74,0,0,0,5
1,0,353596,1852656,193328,268004,0,0,0,0,658,241,24,1,75,0,0,0,5
1,0,353596,1094180,193328,268004,0,0,0,2,668,239,24,1,75,0,0,0,6
1,0,353596,2805828,193328,268004,0,0,0,0,701,290,24,2,74,0,0,0,7
1,0,353596,2044836,193336,268004,0,0,0,6,670,244,24,1,75,0,0,0,5
1,0,353596,1287308,193336,268004,0,0,0,2,670,246,24,1,75,0,0,0,6
1,0,353596,2917040,193336,268004,0,0,0,0,699,283,24,1,74,0,0,0,5
1,0,353596,2239944,193336,268004,0,0,0,0,668,232,25,1,75,0,0,0,5
1,0,353596,1475840,193344,268004,0,0,0,8,683,248,24,2,75,0,0,0,7
1,0,353596,721244,193344,268004,0,0,0,0,687,275,24,1,75,0,0,0,6
1,0,353596,2427772,193344,268004,0,0,0,0,701,291,24,1,74,0,0,0,5
1,0,353596,1672332,193352,268004,0,0,0,10,507,248,24,1,75,0,0,0,5
1,0,353596,917584,193352,268004,0,0,0,0,410,226,24,1,75,0,0,0,6
1,0,353596,2636412,193352,268004,0,0,0,2,457,295,24,1,75,0,0,0,5
1,0,353596,1888892,193360,268004,0,0,0,8,432,245,24,1,75,0,0,0,5
1,0,353596,1142228,193360,268004,0,0,0,0,418,239,24,1,75,0,0,0,6
1,0,353596,2844520,193360,268004,0,0,0,0,451,291,24,1,74,0,0,0,5
1,0,353596,2100320,193360,268004,0,0,0,2,411,235,24,1,75,0,0,0,5
1,0,353596,1342528,193368,268008,0,0,0,6,430,238,24,1,75,0,0,0,6
1,0,353596,2974212,193368,268008,0,0,0,0,463,292,24,1,74,0,0,0,5
1,0,353596,2296376,193368,268008,0,0,0,4,432,241,24,1,75,0,0,0,5
1,0,353596,1536852,193376,268000,0,0,0,10,431,244,24,1,75,0,0,0,6
1,0,353596,778336,193376,268008,0,0,0,0,421,230,24,1,75,0,0,0,6
1,0,353596,2483524,193376,268008,0,0,0,2,445,282,24,1,74,0,0,0,5
1,0,353596,1727668,193376,268008,0,0,0,4,442,272,24,1,75,0,0,0,5
1,0,353596,968916,193384,268008,0,0,0,6,434,270,24,1,75,0,0,0,6
1,0,353596,2680788,193384,268008,0,0,0,2,446,272,25,1,74,0,0,0,5
1,0,353596,1921068,193384,268008,0,0,0,0,421,238,24,2,75,0,0,0,7
1,0,353340,1156684,193628,274540,1610,0,4868,56,1132,1105,24,3,67,5,0,0,4
1,0,353340,2831724,193628,274540,0,0,0,2,606,302,25,1,74,0,0,0,5
1,0,353340,2124172,193628,274540,2,0,2,0,623,251,24,1,75,0,0,0,5
1,0,353340,1374604,193636,274540,0,0,0,230,698,257,24,2,75,0,0,0,7
2,0,353340,3005596,193636,274540,0,0,0,2,690,279,24,1,74,0,0,0,9
1,0,353340,2326040,193644,274616,10,0,50,14,720,319,24,2,75,0,0,0,7
1,0,353340,1566264,193644,274616,0,0,0,0,667,235,24,1,75,0,0,0,5
1,0,353340,807312,193644,274616,0,0,0,2,680,249,24,1,75,0,0,0,6
1,0,353340,2512032,193652,274616,0,0,0,12,708,294,24,2,74,0,0,0,7
1,0,353340,1752256,193652,274616,0,0,0,0,671,231,24,1,75,0,0,0,5
1,0,353340,992988,193652,274616,0,0,0,2,689,240,24,1,75,0,0,0,6
1,0,353340,2702488,193652,274620,0,0,0,0,733,323,25,1,75,0,0,0,5
1,0,353340,1942756,193660,274624,0,0,0,6,684,240,25,1,75,0,0,0,5
1,0,353340,1180908,193660,274624,0,0,0,2,681,241,24,1,75,0,0,0,6
1,0,353340,2833416,193660,274624,2,0,2,0,705,275,24,2,74,0,0,0,7
1,0,353340,2142520,193668,274624,0,0,0,8,517,265,24,1,75,0,0,0,5
1,0,353340,1397048,193668,274624,0,0,0,2,425,244,24,1,75,0,0,0,6
1,0,353340,3042344,193668,274624,0,0,0,2,457,288,24,1,75,0,0,0,5
3,0,353340,2370832,193676,274624,0,0,0,6,426,231,24,1,75,0,0,0,9
1,0,353340,1615152,193676,274624,0,0,0,2,421,233,25,1,75,0,0,0,5
1,0,353340,875904,193676,274624,0,0,0,80,430,238,24,1,75,0,0,0,6
1,0,353340,2600580,193676,274624,0,0,0,0,744,617,24,2,74,0,0,0,7
1,0,353340,1853052,193684,274624,0,0,0,8,431,250,24,1,75,0,0,0,5
1,0,353340,1096852,193684,274624,0,0,0,0,420,234,24,1,75,0,0,0,6
1,0,353340,2811084,193684,274624,0,0,0,0,453,282,24,1,75,0,0,0,5
1,0,353340,2058496,193692,274624,0,0,0,8,432,245,24,1,75,0,0,0,5
1,0,353340,1305032,193692,274624,0,0,0,0,441,273,24,1,75,0,0,0,6
1,0,353340,2940424,193692,274624,0,0,0,0,467,316,24,1,74,0,0,0,5
1,0,353340,2260968,193692,274624,0,0,0,2,419,233,24,1,75,0,0,0,5
1,0,353340,1497096,193700,274624,0,0,0,6,426,251,24,1,75,0,0,0,6
1,0,353340,752556,193700,274624,0,0,0,0,425,249,24,1,75,0,0,0,6
1,0,353340,2470576,193700,274624,0,0,0,2,465,288,25,1,74,0,0,0,5
1,0,353340,1718992,193700,274624,0,0,0,0,543,264,24,2,75,0,0,0,7
1,0,353340,966176,193708,274624,0,0,0,6,625,252,24,1,75,0,0,0,6
1,0,353340,2677728,193708,274624,0,0,0,2,671,282,25,1,75,0,0,0,5
1,0,353340,1917944,193708,274624,0,0,0,0,659,239,24,1,75,0,0,0,5
1,0,353340,1156884,193716,274624,0,0,0,6,664,239,24,2,75,0,0,0,7
1,0,353340,2834256,193716,274624,6,0,6,2,714,297,25,1,74,0,0,0,5
1,0,353340,2106252,193716,274628,0,0,0,0,671,228,24,1,75,0,0,0,5
2,0,353340,1348476,193716,274628,0,0,0,0,679,238,24,1,75,0,0,0,9
1,0,353340,2983880,193724,274628,0,0,0,10,700,286,24,1,75,0,0,0,5
1,0,353340,2302432,193724,274628,0,0,0,0,690,280,24,1,75,0,0,0,5
1,0,353340,1542656,193724,274628,0,0,0,0,681,244,24,1,75,0,0,0,5
1,0,353340,777364,193732,274628,0,0,0,12,678,243,24,1,75,0,0,0,6
1,0,353340,2490816,193732,274628,0,0,0,0,698,275,25,1,74,0,0,0,5
1,0,353340,1743328,193732,274628,0,0,0,0,674,245,24,1,75,0,0,0,5
1,0,353340,990356,193740,274620,0,0,0,12,691,252,24,1,75,0,0,0,6
1,0,353340,2712060,193740,274628,0,0,0,0,667,296,24,1,75,0,0,0,5
1,0,353340,1960468,193740,274628,0,0,0,0,421,239,24,2,75,0,0,0,7
1,0,353340,1210636,193740,274628,0,0,0,2,422,250,24,1,75,0,0,0,6
1,0,353340,2842480,193748,274628,0,0,0,8,449,281,24,1,75,0,0,0,5
1,0,353340,2169792,193748,274628,0,0,0,0,429,248,24,1,75,0,0,0,5
1,0,353340,1412240,193748,274628,0,0,0,4,434,240,24,1,75,0,0,0,6
1,0,353340,3044364,193748,274628,0,0,0,0,433,272,24,1,75,0,0,0,5
